,id,title,release_date,vote_average,vote_count
291,784149,Remains of a Man,2021-01-27,7.5,2
292,852800,Music’s Dirty Secrets: Women Fight Back,2021-01-27,0.0,0
293,788508,토이 솔져스: 가짜사나이2 더 컴플리트,2021-01-27,0.0,0
294,790507,The Holocaust. Certified crime,2021-01-27,0.0,0
295,791727,De Sobibor Tapes,2021-01-27,0.0,0
296,791776,The New Exhibition,2021-01-27,0.0,0
297,792102,Lock Down Love,2021-01-27,0.0,0
298,789545,Discovering Sci Fi on Film,2021-01-27,0.0,0
299,791150,Enfants placés : que fait la République ?,2021-01-27,0.0,0
300,792102,Lock Down Love,2021-01-27,0.0,0
301,794596,Ghost of the Minerva,2021-01-27,7.0,1
302,791855,Aquaticans,2021-01-27,7.0,1
303,789545,Discovering Sci Fi on Film,2021-01-27,0.0,0
304,791418,clipping. live for no audience during a global pandemic,2021-01-27,0.0,0
305,791050,No Way Out,2021-01-27,0.0,0
306,783143,Stress Zero,2021-01-27,6.0,1
307,790507,The Holocaust. Certified crime,2021-01-27,0.0,0
308,791727,De Sobibor Tapes,2021-01-27,0.0,0
309,791776,The New Exhibition,2021-01-27,0.0,0
310,785507,Rule of the Game: Human Hunting,2021-01-27,4.0,1
311,844945,A Mile with May: Adventuring with my daughter,2021-01-27,0.0,0
312,894209,Downwinders and the Radioactive West,2021-01-27,0.0,0
313,751267,Accomplice,2021-01-27,7.5,13
314,794460,Le Big Wave Surfing au Portugal,2021-01-27,0.0,0
315,791264,DeLorean: Back from the Future,2021-01-27,0.0,0
316,790852,Goodbye little pony,2021-01-27,0.0,0
317,791657,Canines,2021-01-27,9.0,1
318,788038,Oracle,2021-01-27,0.0,0
319,826025,競技青春,2021-01-27,0.0,0
320,822815,AEW Dynamite Awards,2021-01-27,0.0,0
321,803212,Norvège : le festin des orques,2021-01-27,0.0,0
322,917214,Animal Farm,2021-01-27,0.0,0
323,806434,Bala,2021-01-27,0.0,0
324,886824,Faço Minhas Linhas,2021-01-27,0.0,0
325,811273,Nusaybin Cinleri,2021-01-27,0.0,0
326,747190,A Entrevista,2021-01-26,0.0,0
327,843098,Good Juju Live,2021-01-26,0.0,0
328,841080,9th Circuit Cowboy,2021-01-26,0.0,0
329,860957,Deadline,2021-01-26,0.0,0
330,882927,TranHeist,2021-01-26,0.0,0
331,854343,Rio the Survivor,2021-01-26,0.0,0
332,845198,Remisivir,2021-01-26,0.0,0
333,869856,Lady Warrior,2021-01-26,0.0,0
334,869455,He Said She Said,2021-01-26,0.0,0
335,630586,Wrong Turn,2021-01-26,6.0,630
336,799135,Plenty,2021-01-26,0.0,0
337,795319,Life in Technicolor,2021-01-26,0.0,0
338,790731,Detective Dee and City of Mists,2021-01-26,0.0,0
339,790316,Thirivu - a self discovery,2021-01-26,0.0,0
340,882927,TranHeist,2021-01-26,0.0,0
341,808997,Battle Dog Attack,2021-01-26,0.0,0
342,793497,Death Hike,2021-01-26,0.0,0
343,869856,Lady Warrior,2021-01-26,0.0,0
344,869455,He Said She Said,2021-01-26,0.0,0
345,790672,The Old Animation Shop,2021-01-26,0.0,0
346,790731,Detective Dee and City of Mists,2021-01-26,0.0,0
347,790316,Thirivu - a self discovery,2021-01-26,0.0,0
348,790317,"Charlie, le journal qui ne voulait pas mourir",2021-01-26,8.0,1
349,790325,The Legend of Fei,2021-01-26,0.0,0
350,789935,Monument to the Murderers,2021-01-26,9.0,1
351,799135,Plenty,2021-01-26,0.0,0
352,781168,It's a Madcap World: The Making of an Unfinished Film,2021-01-26,0.0,0
353,789070,Kevin,2021-01-26,5.0,1
354,784062,Bad Habits,2021-01-26,0.0,0
355,783233,The AGFA Horror Trailer Show: Videorage,2021-01-26,5.5,2
356,777620,Caged,2021-01-26,6.4,45
357,825223,Taxidrome,2021-01-26,10.0,1
358,924248,Shari,2021-01-26,0.0,0
359,924280,Taro,2021-01-26,0.0,0
360,809270,A Vendor Named Nadir,2021-01-26,0.0,0
361,790456,Voicemails From Strangers: 2021,2021-01-26,0.0,0
362,794443,Hr. Hansen & Hr. Jensen,2021-01-26,0.0,0
363,825223,Taxidrome,2021-01-26,10.0,1
364,906452,Trump's American Carnage,2021-01-26,0.0,0
365,925132,Alien Colony Earth: Human Harvest,2021-01-26,0.0,0
366,790918,The Japanese myth of the trickster raccoon,2021-01-25,0.0,0
367,790145,Football Inside,2021-01-25,0.0,0
368,784120,Citadel,2021-01-25,5.6,5
369,779421,The Mecanorgans,2021-01-25,0.0,0
370,852997,친구 여동생,2021-01-25,0.0,0
371,820300,A Soul Awakens,2021-01-25,0.0,0
372,817929,Ayla Belgeseli: Vuslat,2021-01-25,0.0,0
373,726164,Magic Max,2021-01-25,5.8,5
374,787145,Solar Eclipse,2021-01-25,0.0,0
375,809000,巅峰人生,2021-01-25,0.0,0
376,790220,Invictus – O Título da Lusa na Copinha,2021-01-25,10.0,1
377,790233,Trafficked,2021-01-25,6.1,7
378,790268,川流,2021-01-25,0.0,0
379,860955,Realization,2021-01-25,0.0,0
380,790220,Invictus – O Título da Lusa na Copinha,2021-01-25,10.0,1
381,790233,Trafficked,2021-01-25,6.1,7
382,790268,川流,2021-01-25,0.0,0
383,789937,辽阔之痛,2021-01-25,0.0,0
384,800757,Dachau: Death Camp,2021-01-25,6.0,1
385,779421,The Mecanorgans,2021-01-25,0.0,0
386,787051,Kings Literacy Initiative Pact,2021-01-25,0.0,0
387,797835,"Dear Paul Schrader, Thank You for 'Light Sleeper'",2021-01-25,0.0,0
388,792762,Rhod Gilbert: Stand Up To Infertility,2021-01-25,0.0,0
389,783951,Une place au soleil,2021-01-25,0.0,0
390,784089,Quick Space,2021-01-25,0.0,0
391,783280,Les sandales blanches,2021-01-25,7.6,5
392,900745,S.O.S.,2021-01-25,0.0,0
393,916301,Seth,2021-01-25,0.0,0
394,790098,The Death of Priam,2021-01-25,0.0,0
395,788411,From the Kitchen to Parliament: 2021 Edition,2021-01-25,7.0,1
396,786408,Eyes Wide Open,2021-01-25,0.0,0
397,791283,Sarah Kohr - Schutzbefohlen,2021-01-25,7.0,4
398,788040,Eu. Empresa,2021-01-25,0.0,0
399,878494,Mater Mortis,2021-01-25,0.0,0
400,790497,Monument,2021-01-25,0.0,0
401,809663,Urban Amazons,2021-01-25,0.0,0
402,852881,Pretty Young Sister 4,2021-01-25,0.0,0
403,790133,El niño de fuego,2021-01-24,8.0,1
404,790152,The Water Of Life,2021-01-24,0.0,0
405,790190,My Way: The Life and Legacy of Pat Patterson,2021-01-24,10.0,1
406,791392,Mini Filme de Terror,2021-01-24,0.0,0
407,791768,Malcata: Tale of a Lonely Hill,2021-01-24,0.0,0
408,790966,Kuba Guling Karipap Pusing,2021-01-24,10.0,1
409,791024,Manon - Staatsoper Hamburg,2021-01-24,4.0,1
410,790204,The End of Innocence,2021-01-24,0.0,0
411,789543,Gleis 11,2021-01-24,0.0,0
412,886632,Now Vs The Future,2021-01-24,7.0,1
413,789859,HER,2021-01-24,7.0,1
414,789891,Olu & Oshari,2021-01-24,0.0,0
415,792346,Королевство кривых кулис. 2 часть - Уральские Пельмени,2021-01-24,0.0,0
416,789630,"Hello, My Youth",2021-01-24,0.0,0
417,789648,Ein Sommer auf Elba,2021-01-24,5.0,1
418,789683,Short cuts : Mr. Klein,2021-01-24,0.0,0
419,899188,"Teapot or (Sorry, I couldn't Think of a Better Title)",2021-01-24,0.0,0
420,866423,Paul Blart: Cyber Cop,2021-01-24,10.0,1
421,806431,Transfigure,2021-01-24,7.5,2
422,864094,Breathing Space,2021-01-24,0.0,0
423,720194,Sketches,2021-01-23,0.0,0
424,785349,ela viu aranhas,2021-01-23,0.0,0
425,784156,Açucena,2021-01-23,5.0,1
426,834353,BFAB Interview - The Eastacast,2021-01-23,9.0,1
427,858533,Will You Wear A Mask?  I Ask.,2021-01-23,0.0,0
428,870995,Guarding Our City,2021-01-23,0.0,0
429,871340,In Search of Monsters,2021-01-23,8.0,2
430,742198,Comboio Pra Lua,2021-01-23,0.0,0
431,766190,Babelon,2021-01-23,0.0,0
432,765763,Deformed Pigeon Feet,2021-01-23,0.0,0
433,787393,Passagem Secreta,2021-01-23,0.0,0
434,789712,Hermit of Guanyang Town,2021-01-23,0.0,0
435,789724,Symphonissime,2021-01-23,8.0,1
436,767991,Levantado do Chão,2021-01-23,0.0,0
437,788127,15000ft,2021-01-23,0.0,0
438,787746,Thomas Sowell: Common Sense in a Senseless World,2021-01-23,10.0,2
439,789526,Oh Boy! What's Wrong With You?!,2021-01-23,0.0,0
440,781016,From Another Seasons,2021-01-23,0.0,0
441,792345,Королевство кривых кулис. 1 часть - Уральские Пельмени,2021-01-23,0.0,0
442,790350,Patrick Laureij: Nederlands Hoop,2021-01-23,0.0,0
443,799318,Exodus 23:20,2021-01-23,0.0,0
444,785864,Salt-N-Pepa,2021-01-23,7.0,4
445,788238,Burning Memories,2021-01-23,0.0,0
446,788245,Das katholische Korsett – oder der mühevolle Weg zum Frauenstimmrecht,2021-01-23,0.0,0
447,789143,Pringle,2021-01-23,0.0,0
448,788768,The Path is Made by Walking,2021-01-23,0.0,0
449,789526,Oh Boy! What's Wrong With You?!,2021-01-23,0.0,0
450,789539,Field of Operations: Leningrad,2021-01-23,0.0,0
451,789540,Diagnosing Healthcare,2021-01-23,10.0,1
452,789573,Seventeen: In-Complete Concert,2021-01-23,0.0,0
453,788338,Sonata,2021-01-23,0.0,0
454,788340,Let Me In,2021-01-23,0.0,0
455,788341,Island Living,2021-01-23,0.0,0
456,788344,Gáidat / Máhccat,2021-01-23,0.0,0
457,788345,8007 Marina Apartment,2021-01-23,0.0,0
458,801101,Thaïs - Hymne à la joie,2021-01-23,0.0,0
459,891927,GH011182,2021-01-23,0.0,0
460,814346,Call for Help,2021-01-23,0.0,0
461,850228,Prom Night,2021-01-23,0.0,0
462,874768,Avatar Ages: Madness,2021-01-23,0.0,0
463,796442,An Opera for an Empire,2021-01-23,0.0,0
464,775619,A Winter Getaway,2021-01-23,5.8,6
465,790018,Aloukik,2021-01-23,3.0,1
466,791263,Intrepid Hero,2021-01-23,0.0,0
467,789229,Bangaru Bullodu,2021-01-23,6.0,1
468,788032,Subterrânea,2021-01-23,0.0,0
469,788036,Voltei!,2021-01-23,0.0,0
470,788445,Dissonance,2021-01-23,0.0,0
471,788447,Vander,2021-01-23,0.0,0
472,788448,Animais na Pista,2021-01-23,0.0,0
473,788820,Abjetas 288,2021-01-23,10.0,1
474,788870,Bad Day,2021-01-23,0.0,0
475,788883,Mirador,2021-01-23,0.0,0
476,788899,A Destruição do Planeta Live,2021-01-23,5.0,1
477,891927,GH011182,2021-01-23,0.0,0
478,843205,Primavera,2021-01-23,0.0,0
479,810029,Tuffo,2021-01-23,0.0,0
480,920030,I'm Not The River Jhelum,2021-01-23,0.0,0
481,920813,"Kizuna AI 2nd Live ""hello, world 2020""",2021-01-23,0.0,0
482,788902,Super Over,2021-01-22,5.0,4
483,788910,Island of the Sun,2021-01-22,0.0,0
484,788967,Endless Oven,2021-01-22,0.0,0
485,789368,БесогонTV «Jedem das Seine / Каждому свое»,2021-01-22,0.0,0
486,789717,The Southern Shaolin's Angry Eye,2021-01-22,0.0,0
487,789765,The Child Who Would Not Come,2021-01-22,0.0,0
488,789771,The Mysterious Fox,2021-01-22,0.0,0
